audio_url,https://www.dropbox.com/scl/fi/kcxpempcm5wipn5hd4ppp/Fun-Classical-Music-AW5OcEOy9NU.mp3?rlkey=4iwk5t9osbdyopppbgks03xfu&st=mcdcjm3e&raw=1
00:00:00,Respighi - 5 Pieces for Violin and Piano: No. 2 Aubade,A. Clerici / E. Brunello
00:02:45,Anderson - Fiddle Faddle,
00:06:07,Britten - Simple Symphony Op. 4: II. Playful Pizzicato,MSO / P. Lyubomudrov
00:09:30,Strauss II - Champagner-Polka Op. 211,Strauss Festival Orchester Wien / P. Guth
00:11:45,Mozart - Oboe Concerto in C major K. 314: III. Rondo Allegretto,ORA / R. Casero / M. Esteban
00:17:11,Debussy - Petite Suite for Piano Four Hands L. 65: IV. Ballet,
00:20:06,Fauré - Dolly Op. 56: No. 2 Mi-a-ou,C. Balzaretti / K. Kumagai
00:21:55,Fauré - Dolly Op. 56: No. 6 Pas Espagnol,C. Balzaretti / K. Kumagai
00:24:06,De Falla - Siete Canciones Populares Españolas: No. 6 Canción,F. Mancini / B. Engeli
00:25:27,De Falla - Siete Canciones Populares Españolas: No. 4 Jota,F. Mancini / B. Engeli
00:28:19,Tchaikovsky - Valse-Scherzo in C major Op. 34,MSO / P. Lyubomudrov / A. Baranov
00:34:03,Tchaikovsky - The Nutcracker: II c. Danse russe Trépak,The Russian Philharmonia / A. Vedernikov
00:35:16,Tchaikovsky - Swan Lake: III. Danse des Cygnes,The Russian Philharmonia / A. Vedernikov
00:36:42,Beethoven - Symphony No. 3 Eroica Op. 55: III. Scherzo,
00:42:35,Beethoven - Symphony No. 2 Op. 36: IV. Allegro molto,OPV / P. Maag
00:49:07,Anderson - Plink Plank Plunk!,MSO / P. Lyubomudrov
00:51:50,Dvořák - String Quartet No. 12 Op. 96: IV. Finale,SSQ
00:57:07,Bartók - Romanian Folk Dances Sz.68: No. 5-7,NEE
00:58:33,Brahms - String Sextet No. 1 Op. 18: III. Scherzo,EIF / N. Risier / J. Estourmet
01:01:35,Haydn - Cello Concerto No. 1 in C major: III. Allegro molto (Live),A. Persichilli / VTS
01:07:50,Mendelssohn - Violin Concerto Op. 64: III. Allegro molto vivace (Live),OCF / G. Lanzetta / C. Verdini
01:14:38,Paganini - 24 Caprices Op. 1: No. 1 L'Arpeggio,P. Berman
01:16:23,Liszt - Grandes études de Paganini S. 141: No. 2 Andante,R. Tutti
01:21:50,Liszt - Grandes études de Paganini S. 141: No. 3 La campanella,R. Tutti
01:26:47,Schubert - Der Teufel als Hydraulicus D 4,OdT / D. Renzetti
01:30:20,Beethoven - Symphony No. 8 Op. 93: II. Allegretto scherzando,OCF / G. Lanzetta
01:34:20,Beethoven - Symphony No. 8 Op. 93: IV. Allegro vivace,G. Lanzetta / OCF
01:42:00,Scriabin - Scherzo for String Orchestra,MSO / P. Lyubomudrov
01:43:19,Dvarionas - Little Suite for Piano: V. Little Rhapsody,
01:45:54,Tchaikovsky - The Seasons Op. 37a: No. 2 February,V. Chaimovich
01:48:49,Grieg - Lyric Pieces Op. 12: No. 4 Fairy Dance,A. Martino
01:49:48,Grieg - Lyric Pieces Op. 54: No. 3 March of the Dwarfs,A. Martino
01:53:12,Grieg - Lyric Pieces Op. 71: No. 3 Puck,A. Martino
01:55:15,Tchaikovsky - The Nutcracker: I. Ouverture miniature,The Russian Philharmonia / A. Vedernikov
01:58:26,Tchaikovsky - The Nutcracker: II f. Danse des mirlitons,The Russian Philharmonia / A. Vedernikov
02:01:05,Tchaikovsky - The Nutcracker: II e. Danse chinoise,The Russian Philharmonia / A. Vedernikov
02:02:17,Beethoven - Symphony No. 7 Op. 92: III. Presto (Live),ORA / R. Casero
02:12:09,Mozart - Piano Sonata No. 11 K. 331: III. Alla Turca,P. Porqueddu
02:15:18,Schumann - Kinderszenen Op. 15: No. 3 Hasche-Mann (Live),C. Balzaretti
02:15:48,Schumann - Kinderszenen Op. 15: No. 5 Glückes genug (Live),C. Balzaretti
02:17:00,Schumann - Kinderszenen Op. 15: No. 8 Am Kamin (Live),C. Balzaretti
02:17:53,Schumann - Kinderszenen Op. 15: No. 9 Ritter vom Steckenpferd (Live),C. Balzaretti
02:18:30,Chopin - Preludes Op. 28: No. 3 in G major Vivace,A. Nones
02:19:30,Chopin - Waltzes Op. 64: No. 1 Minute Waltz,A. Nones
02:21:20,Strauss II - Tritsch-Tratsch-Polka Op. 214 (Live),ORA / D. M. Urzanqui
02:24:07,Strauss II - Unter Donner und Blitz Op. 324 (Live),ORA / D. M. Urzanqui
02:27:21,Strauss II - Polka Op. 439: Majorchs Telephon,Strauss Festival Orchester Wien / P. Guth
02:29:22,Strauss - Radetzky March Op. 228 (Live),
